EIN,Name of Organization,City,State,Fiscal Year,Grants and Contributions,Other Revenue,Total Revenue,Total Grants Proportion,Compensation of Officers,Other Salaries and Wages,Total Expenses,Net Assets at End,Gross Receipts,Gross Assets
91-1767292,The Watershed Project,Richmond,CA,2022,459662,370547,830209,0.55,91698,451558,813807,318247,970492,1169744
91-1767292,The Watershed Project,Richmond,CA,2021,382453,132297,514750,0.74,0,402741,656805,259099,970492,1169744
91-1767292,The Watershed Project,Richmond,CA,2020,442842,205389,648231,0.68,86154,296667,716454,240770,970492,1169744
91-1767292,The Watershed Project,Richmond,CA,2019,412455,360262,772717,0.53,84462,297074,824310,257007,970492,1169744
33-0647946,San Diego Coastkeeper ,San Diego,CA,2021,1128928,4302,1128832,1,155000,447050,841936,1609104,959203,2363056
33-0647946,San Diego Coastkeeper ,San Diego,CA,2020,764516,3418,760562,1.01,140798,333582,671655,1322208,959203,2363056
33-0647946,San Diego Coastkeeper ,San Diego,CA,2019,1004514,2631,1060137,0.95,115000,281202,643719,1233301,959203,2363056
84-4780735,Innoceana,Kentfield,CA,2022,197517,4598,197770,1,37649,40214,143277,110252,807187,380266
84-4780735,Innoceana,Kentfield,CA,2021,0,0,143799,0,0,0,88140,0,807187,380266
45-4329874,Newport Beach Junior Lifeguard Foundation,Costa Mesa,CA,2022,1063718,26,1099353,0.97,0,0,225996,2431795,623680,603117
45-4329874,Newport Beach Junior Lifeguard Foundation,Costa Mesa,CA,2021,439858,16,450015,0.98,0,0,127188,1150278,623680,603117
45-4329874,Newport Beach Junior Lifeguard Foundation,Costa Mesa,CA,2020,91324,29,106938,0.85,0,0,52913,827451,623680,603117
45-4329874,Newport Beach Junior Lifeguard Foundation,Costa Mesa,CA,2019,378953,61,416026,0.91,0,0,121163,773426,623680,603117
83-3305529,Race To Zero Waste,South San Francisco,CA,2022,16725,238143,254868,0.07,40290,63001,247402,6332,611638,94462
83-3305529,Race To Zero Waste,South San Francisco,CA,2021,0,0,84657,0,0,0,105652,0,611638,94462
83-3305529,Race To Zero Waste,South San Francisco,CA,2020,0,0,159512,0,0,0,140563,0,611638,94462
33-0587567,Pacific Beach Community Development Corp,San Diego,CA,2022,51545,436673,492123,0.1,0,152768,429865,313327,610308,264317
33-0587567,Pacific Beach Community Development Corp,San Diego,CA,2021,54696,369692,430438,0.13,0,147645,401625,251069,610308,264317
33-0587567,Pacific Beach Community Development Corp,San Diego,CA,2020,28991,482562,518153,0.06,0,139422,552805,222256,610308,264317
33-0587567,Pacific Beach Community Development Corp,San Diego,CA,2019,34465,621724,661689,0.05,0,121615,637810,256908,610308,264317
94-2745941,Save Our Shores,Santa Cruz,CA,2022,449793,117465,565104,0.8,111538,203147,460770,368858,552280,350356
94-2745941,Save Our Shores,Santa Cruz,CA,2021,501331,57122,558453,0.9,115534,175926,507769,274602,552280,350356
94-2745941,Save Our Shores,Santa Cruz,CA,2020,371488,74300,445788,0.83,122566,121971,456266,214688,552280,350356
94-2745941,Save Our Shores,Santa Cruz,CA,2019,436928,98458,534101,0.82,104508,218841,576229,219068,552280,350356
33-0145660,Huntington Beach Wetlands Conservancy,Huntington Beach,CA,2022,379601,37121,452975,0.84,0,96400,559386,9093779,523158,9122010
33-0145660,Huntington Beach Wetlands Conservancy,Huntington Beach,CA,2021,2972399,27715,3032805,0.98,0,77600,631850,9277470,523158,9122010
