EIN,Name of Organization,Grantmaker,Grant Description,Amount,Year-Month
91-1767292,The Watershed Restoration,YES Nature to Neighborhoods,Richmond Outdoor Coalition,70000,2023-08
91-1767292,The Watershed Restoration,Shipley Foundation,General Operating Support,35000,2023-12
91-1767292,The Watershed Restoration,Resources Legacy Fund,"Land Or Marine Conservation, Climate Change, And/or Environ. Equity and Justice.",30000,2023-12
33-0647946,San Diego Coastkeeper ,Dorrance Family Foundation,To Support Building Capacity To Protect and Restore Mission Bay's Coastal Resources,142000,2022-12
33-0647946,San Diego Coastkeeper ,Resources Legacy Fund,"Land Or Marine Conservation, Climate Change, And/or Environ. Equity and Justice.",80000,2023-12
33-0647946,San Diego Coastkeeper ,The Marisla Foundation,General Support,50000,2022-12
45-4329874,Newport Beach Junior Lifeguard Foundation,Oneroot Foundation,To Provide Scholarships To Eligible Students,805000,2022-12
45-4329874,Newport Beach Junior Lifeguard Foundation,PayPal Giving Fund,General Support,114501,2022-12
45-4329874,Newport Beach Junior Lifeguard Foundation,Schwab Charitable Fund,Human Services,13500,2023-06
83-3305529,Race To Zero Waste,N/A,N/A,N/A,N/A
33-0587567,Pacific Beach Community Development Corp,Ecology Center,Food Insecurity Nutrition Incentive (Fini) Grant Program,18123,2022-12
33-0587567,Pacific Beach Community Development Corp,AmazonSmile Foundation,General Support,78,2022-12
94-2745941,Save Our Shores,Community Foundation Santa Cruz County,For General Operating Support,28452,2022-12
94-2745941,Save Our Shores,American Online Giving Foundation,General Support,21108,2023-03
94-2745941,Save Our Shores,Monterey Peninsula Foundation (MPF),Operating Support,20000,2023-06
33-0145660,Huntington Beach Wetlands Conservancy,The San Diego Foundation,LFRR Propagation Program Support,53279,2023-06
33-0145660,Huntington Beach Wetlands Conservancy,Orange County Community Foundation (OCCF),Environment,50500,2023-06
33-0145660,Huntington Beach Wetlands Conservancy,Norman E Alexander Family S Foundation,Environmental Purposes,50000,2022-12
94-2665367,OCEAN VOYAGES INSTITUTE,Legacy Global Foundation,Public Support,105399,2021-12
94-2665367,OCEAN VOYAGES INSTITUTE,Ladybug Foundation,Project/program Support - Ocean Cleanup Program,50000,2022-12
94-2665367,OCEAN VOYAGES INSTITUTE,The Mental Insight Foundation,Charitable,50000,2022-12
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Schwab Charitable Fund,Environmental and Animals,31000,2023-06
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),The Sjouwerman Foundation,,10000,2023-12
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Kohn Family Corporation,Charitable,2000,2017-07
47-5161428,WSL PURE,The Natasha and Dirk Ziff Foundation,Support Partnership With Columbia University's Ocean Research and Education Programs,1600000,2021-12
47-5161428,WSL PURE,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,50000,2023-06
94-2216915,Tahoe Keys Beach and Harbor Association Inc,N/A,N/A,N/A,N/A
23-7213237,Environmental Center of SLO (ECOSLO),The Priscilla Endicott Charitable Foundation #95-228210,General Purpose,5000,2022-11
85-3432174,Carmel Cares,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,25250,2023-06
85-3432174,Carmel Cares,Westridge Foundation,For Scenic Pathway Improvement and Care,10000,2023-12
85-3432174,Carmel Cares,The Ayco Charitable Foundation,Community & Human Services,10000,2022-12
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,Orange County Community Foundation (OCCF),Environment & Animal Welfare,30000,2022-06
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,The Marisla Foundation,Los Cerritos Wetlands Conservation & Advocacy,25000,2022-12
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,National Fish and Wildlife Foundation (NFWF),Zedler Marsh Enhancement,18214,2022-09
94-1693226,Seascape Beach Association,N/A,N/A,N/A,N/A
22-3902362,ROB MACHADO FOUNDATION,Burns Family Foundation,General Operating,1500,2022-12
95-6377791,Pacific Beach Town Council Inc,The San Diego Foundation,"For the PB Rec Center Mural and Rehab, Emergency Service Appreciation Night, and PBTC Enhancement Committee",8500,2022-06
95-6377791,Pacific Beach Town Council Inc,AmazonSmile Foundation,General Support,60,2022-12
33-0537412,Cabrillo Beach Boosters Incorporated,Rich Charitable Foundation,General Program Support,1000,2023-12
45-3042628,SURFING MADONNA OCEANS PROJECT ,AmazonSmile Foundation,General Support,11,2022-12
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Santa Barbara Foundation,"Recreation, Sports, Leisure, Athletics",25000,2022-12
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,10100,2023-06
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Schwab Charitable Fund,Human Services,6500,2023-06
45-2639830,The SeaChange Agency,Lanza Family Foundation,General Operating Support,150000,2023-12
45-2639830,The SeaChange Agency,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,8800,2023-06
45-2639830,The SeaChange Agency,AmazonSmile Foundation,General Support,237,2022-12
95-3273023,Buckminster Fuller Institute,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,1012409,2023-06
95-3273023,Buckminster Fuller Institute,The Schmidt Family Foundation (TSFF),Ocean Stewardship and Research,250000,2022-12
95-3273023,Buckminster Fuller Institute,Schwab Charitable Fund,"Public, Societal Benefit",125000,2023-06
68-0120240,San Francisco Baykeeper,Resources Legacy Fund,"Land Or Marine Conservation, Climate Change, And/or Environ. Equity and Justice.",86000,2023-12
68-0120240,San Francisco Baykeeper,Schwab Charitable Fund,Environmental and Animals,85900,2023-06
68-0120240,San Francisco Baykeeper,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,55825,2023-06
95-2566791,I Love A Clean San Diego,The San Diego Foundation,Expanding Environmental Education and Access,61500,2023-06
95-2566791,I Love A Clean San Diego,Ellen Browning Scripps Foundation,Funds for Discretionary Use,15550,2023-06
95-2566791,I Love A Clean San Diego,Heller Foundation of San Diego,General Operating,10000,2023-12
77-0565183,Heal the Ocean,Manitou Fund,"Oil Well Capping, Homeless Task Force, Sea Level Rise",150000,2022-12
77-0565183,Heal the Ocean,The Patricia and Paul Bragg Foundation,General Support for Charity's Purpose,50000,2023-12
77-0565183,Heal the Ocean,Schlinger Family Foundation,General & Unrestricted,50000,2023-12
82-4594246,New Roots Institute,Vegan Outreach,"Vegan Outreach, Inc Was the Fiscal Sponsor of Factory Farming Awareness Coalition. the Relationship Ceased Effective July 1, 2018. This Grant Represents All Monies Which Had Been Accumulated for Ffac Activities and Was Distributed To Ffac.",311211,2019-06
82-4594246,New Roots Institute,Vanguard Charitable Endowment Program,For Recipient's Exempt Purpose,288500,2023-06
82-4594246,New Roots Institute,Builders Initiative Foundation,To Support General Operations With Emphasis on Midwestern Operations,150000,2022-12
83-1159078,The Bill and Ginger Winder Family Foundation Inc,N/A,N/A,N/A,N/A
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,Bella Vista Foundation,Eco-Adventure Program,35000,2022-12
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,American Endowment Foundation,Youth Devel,25000,2023-12
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,The Henry Mayo Newhall Foundation,For the Eco-Apprentices Program,15000,2023-12
38-3891081,OCEANIC PRESERVATION SOCIETY,Holtzman Wildlife Foundation,Film That Offers Solutions To the Plastic Pollution Problem,125000,2022-12
38-3891081,OCEANIC PRESERVATION SOCIETY,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,114050,2023-06
38-3891081,OCEANIC PRESERVATION SOCIETY,10-25 Tomorrow Foundation,General,105000,2023-12
94-2951488,Call of the Sea,Hearst Foundations,To Support Operations,125000,2022-12
94-2951488,Call of the Sea,The William H Donner Foundation,General Support,20000,2023-10
94-2951488,Call of the Sea,American Online Giving Foundation,General Support,18293,2023-03
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,National Fish and Wildlife Foundation,Bay Habitat Restoration,161121,2023-09
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Wild Animal Initiative,To Funds Academic Research on High-Priority Questions in Wild Animal Welfare.,10000,2022-12
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,8742,2023-06
88-1650309,Save California Salmon,California Wellness Foundation,For Core Operating Support To Sustain Health Education and Public Policy Efforts To Improve the Health of Rural Tribal Communities in California.,250000,2022-12
88-1650309,Save California Salmon,William and Flora Hewlett Foundation,For General Operating Support,100000,2022-12
88-1650309,Save California Salmon,The Schmidt Family Foundation (TSFF),Supporting Local Communities,75000,2022-12
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,Sierra Health Foundation Center for Health Program Management,General Support,107545,2022-12
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,National Philanthropic Trust,"Environment, Animals",100000,2023-06
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,The California Endowment,General Operating Support: To Support An Organization That Supports Resident Power Building and Collaborative Advocacy in Community Efforts To Address Environmental Hazards That Are Detrimental To the Health of Rural and Small Communities Across Kings and Kern Counties.,100000,2023-03
30-0358349,ENDANGERED SPECIES INTERNATIONAL,American Online Giving Foundation,General Support,48388,2023-03
30-0358349,ENDANGERED SPECIES INTERNATIONAL,The Jake Foundation,Charitable,10000,2024-05
30-0358349,ENDANGERED SPECIES INTERNATIONAL,Pledgeling Foundation,General,9974,2022-12
46-5112972,The Hydrous,Fidelity Investments Charitable Gift Fund,For Grant Recipient's Exempt Purposes,38400,2021-06
