,Mutation Value,Disease Implicated,Count
181,A->C,3 beta-Hydroxysteroid dehydrogenase deficiency,1
182,A->C,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,1
183,A->C,Acute neuronopathic Gaucher's disease,1
184,A->C,"Alacrima, achalasia, and mental retardation syndrome",1
185,A->C,Alkaptonuria,1
186,A->C,Aminoacylase 1 deficiency,1
187,A->C,"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",1
188,A->C,Atelosteogenesis type 1,1
189,A->C,Barber-Say syndrome,1
190,A->C,"Benign recurrent intrahepatic cholestasis 2, not provided",1
191,A->C,Beta-hydroxyisobutyryl-CoA deacylase deficiency,1
192,A->C,Bethlem myopathy 1,1
193,A->C,Biotinidase deficiency,1
194,A->C,"Biotinidase deficiency, not provided",1
195,A->C,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",1
196,A->C,Brugada syndrome,1
197,A->C,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD",1
198,A->C,Carcinoma of colon,1
199,A->C,Cardiovascular phenotype,1
200,A->C,"Carnitine acylcarnitine translocase deficiency, not provided",1
201,A->C,Cerebellar hemangioblastoma,1
202,A->C,"Ceroid lipofuscinosis neuronal 1, not provided",1
203,A->C,"Charcot-Marie-Tooth disease, axonal, type 2b, not provided",1
204,A->C,"Charcot-Marie-Tooth disease, demyelinating, type 1b, not provided",1
205,A->C,Chromosome 2q32-q33 deletion syndrome,2
206,A->C,"Ciliary dyskinesia, Ciliary dyskinesia, primary, 22, Kartagener syndrome",1
207,A->C,"Ciliary dyskinesia, primary, 37, Kartagener syndrome",1
208,A->C,"Cone/cone-rod dystrophy, Retinal pigment epithelial atrophy",1
209,A->C,Congenital disorder of glycosylation type 1N,1
210,A->C,"Congenital myasthenic syndrome 1B, fast-channel",1
211,A->C,"Corneal dystrophy, Fuchs endothelial 1, Corneal dystrophy, posterior polymorphous, 2",1
212,A->C,"Deafness, autosomal recessive 9",3
213,A->C,"Deafness, without vestibular involvement, autosomal dominant",1
214,A->C,Deficiency of ferroxidase,1
215,A->C,"Dilated cardiomyopathy 1E, Long QT syndrome 3, Atrial fibrillation, familial, 10, Brugada syndrome 1, SCN5A-Related Disorders",1
216,A->C,Donnai Barrow syndrome,1
217,A->C,Dowling-degos disease 4,1
218,A->C,Duane syndrome type 2,1
219,A->C,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 68",1
220,A->C,Early infantile epileptic encephalopathy,3
221,A->C,"Ehlers-Danlos syndrome, hydroxylysine-deficient",1
222,A->C,"Ehlers-Danlos syndrome, type 4",2
223,A->C,"Erythrokeratodermia variabilis et progressiva 2, not provided",1
224,A->C,Familial cancer of breast,2
225,A->C,"Familial cold urticaria, not provided",1
226,A->C,Familial hypercholesterolemia,1
227,A->C,Familial hypobetalipoproteinemia,1
228,A->C,Focal cortical dysplasia type II,1
229,A->C,"Frontotemporal Dementia, Chromosome 3-Linked, Amyotrophic lateral sclerosis 17, not provided",1
230,A->C,Fucosidosis,1
231,A->C,Fumarase deficiency,1
232,A->C,"Gaucher's disease, type 1",1
233,A->C,Glomerulopathy with fibronectin deposits 2,1
234,A->C,Gonadotropin-independent familial sexual precocity,1
235,A->C,Grange syndrome,1
236,A->C,Hajdu-Cheney syndrome,1
237,A->C,"Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency",1
238,A->C,Hereditary Paraganglioma-Pheochromocytoma Syndromes,1
239,A->C,Hereditary cancer-predisposing syndrome,2
240,A->C,"Hereditary cancer-predisposing syndrome, Lynch syndrome",1
241,A->C,"Hereditary cancer-predisposing syndrome, Lynch syndrome I",1
242,A->C,"Hereditary cancer-predisposing syndrome, Lynch syndrome, Lynch syndrome II",1
243,A->C,Hereditary insensitivity to pain with anhidrosis,1
244,A->C,Hereditary nonpolyposis colon cancer,1
245,A->C,Hereditary pyropoikilocytosis,1
246,A->C,Homocysteinemia due to MTHFR deficiency,4
247,A->C,Homocystinuria due to MTHFR deficiency,1
248,A->C,"Hypercholesterolemia, autosomal dominant, type B, Hypobetalipoproteinemia, familial, 1",1
249,A->C,Hyperphosphatasia with mental retardation syndrome 1,1
250,A->C,"Hyperuricemic nephropathy, familial juvenile, 2",1
251,A->C,"Hypocalcemia, autosomal dominant 1",1
252,A->C,"Hypocalcemia, autosomal dominant 1, not provided",1
253,A->C,"Hypomagnesemia 5, renal, with ocular involvement",1
254,A->C,"Infantile hypophosphatasia, Hypophosphatasia, Childhood hypophosphatasia, Adult hypophosphatasia, not provided",1
255,A->C,"Infantile hypophosphatasia, not provided",1
256,A->C,Infantile liver failure syndrome 2,1
257,A->C,Infantile-onset ascending hereditary spastic paralysis,1
258,A->C,Joubert syndrome 25,1
259,A->C,Lattice corneal dystrophy Type III,1
260,A->C,"Leber congenital amaurosis 2, not provided",1
261,A->C,"Leukodystrophy, hypomyelinating, 10",1
262,A->C,Leydig cell agenesis,1
263,A->C,Luscan-lumish syndrome,1
264,A->C,Lynch syndrome,4
265,A->C,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 65",1
266,A->C,Medium-chain acyl-coenzyme A dehydrogenase deficiency,3
267,A->C,"Medium-chain acyl-coenzyme A dehydrogenase deficiency, not provided",1
268,A->C,"Mental retardation, autosomal dominant 39",1
269,A->C,"Mental retardation, autosomal dominant 9",1
270,A->C,"Metaphyseal chondrodysplasia, Jansen type",1
271,A->C,"Miyoshi muscular dystrophy 1, Limb-girdle muscular dystrophy, type 2B",1
272,A->C,Mowat-Wilson syndrome,1
273,A->C,Multiple mitochondrial dysfunctions syndrome 3,2
274,A->C,Multiple sulfatase deficiency,2
275,A->C,"Myasthenic syndrome, congenital, 22",1
276,A->C,Myofibrillar myopathy 1,1
277,A->C,"Myofibrillar myopathy 1, not provided",1
278,A->C,"NEPHROTIC SYNDROME, TYPE 18",1
279,A->C,"NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES",1
280,A->C,"NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES",1
281,A->C,"Nemaline myopathy 1, not provided",1
282,A->C,Nemaline myopathy 2,1
283,A->C,Nemaline myopathy 3,1
284,A->C,Neuroblastoma,1
285,A->C,"Neuroblastoma, Neuroblastoma 3",3
286,A->C,"Neurodevelopmental disorder with hypotonia, seizures, and absent language",1
287,A->C,Nonsyndromic hearing loss and deafness,1
288,A->C,"Noonan syndrome, Noonan syndrome 4, Rasopathy, not provided",1
289,A->C,"Noonan syndrome, Noonan syndrome 8, not provided",2
290,A->C,"Noonan syndrome-like disorder with loose anagen hair 2, not provided",1
291,A->C,"Orofaciodigital syndrome 5, not provided",1
292,A->C,Parkinson disease 7,1
